Serial_number:
1024481
Project ID:
CWS_2014
Location:
NFY
Level
UNIT: m
Offset: 0.000000 m
Altitude: 715.000000 m
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2015/05/22,14:00:00,0,-8.6834,0.000
2015/05/22,14:15:00,0,-8.2928,0
2015/05/22,14:30:00,0,-8.2914,0
2015/05/22,14:45:00,0,-8.2901,0
2015/05/22,15:00:00,0,-8.2955,0
2015/05/22,15:15:00,0,-8.2935,0
2015/05/22,15:30:00,0,-8.2935,0
2015/05/22,15:45:00,0,-8.2948,0
2015/05/22,16:00:00,0,-8.2962,0
2015/05/22,16:15:00,0,-8.2942,0
2015/05/22,16:30:00,0,-8.2946,0
2015/05/22,16:45:00,0,-8.2958,0
2015/05/22,17:00:00,0,-8.2967,0
2015/05/22,17:15:00,0,-8.2991,0
2015/05/22,17:30:00,0,-8.2996,0
2015/05/22,17:45:00,0,-8.2992,0
2015/05/22,18:00:00,0,-8.2993,0
2015/05/22,18:15:00,0,-8.2984,0
2015/05/22,18:30:00,0,-8.3012,0
2015/05/22,18:45:00,0,-8.2985,0
2015/05/22,19:00:00,0,-8.2990,0
2015/05/22,19:15:00,0,-8.2931,0
2015/05/22,19:30:00,0,-8.2925,0
2015/05/22,19:45:00,0,-8.2918,0
2015/05/22,20:00:00,0,-8.2893,0
2015/05/22,20:15:00,0,-8.2885,0
2015/05/22,20:30:00,0,-8.2901,0
2015/05/22,20:45:00,0,-8.2894,0
2015/05/22,21:00:00,0,-8.2923,0
2015/05/22,21:15:00,0,-8.2915,0
2015/05/22,21:30:00,0,-8.2915,0
2015/05/22,21:45:00,0,-8.2887,0
2015/05/22,22:00:00,0,-8.2873,0
2015/05/22,22:15:00,0,-8.2873,0
2015/05/22,22:30:00,0,-8.2866,0
2015/05/22,22:45:00,0,-8.2861,0
2015/05/22,23:00:00,0,-8.2841,0
2015/05/22,23:15:00,0,-8.2859,0
2015/05/22,23:30:00,0,-8.2848,0
2015/05/22,23:45:00,0,-8.2889,0
2015/05/23,00:00:00,0,-8.2885,0
2015/05/23,00:15:00,0,-8.2900,0
2015/05/23,00:30:00,0,-8.2905,0
2015/05/23,00:45:00,0,-8.2901,0
2015/05/23,01:00:00,0,-8.2888,0
2015/05/23,01:15:00,0,-8.2895,0
2015/05/23,01:30:00,0,-8.2866,0
2015/05/23,01:45:00,0,-8.2817,0
2015/05/23,02:00:00,0,-8.2803,0
2015/05/23,02:15:00,0,-8.2775,0
2015/05/23,02:30:00,0,-8.2758,0
2015/05/23,02:45:00,0,-8.2680,0
2015/05/23,03:00:00,0,-8.2623,0
2015/05/23,03:15:00,0,-8.2564,0
2015/05/23,03:30:00,0,-8.2539,0
2015/05/23,03:45:00,0,-8.2479,0
2015/05/23,04:00:00,0,-8.2449,0
2015/05/23,04:15:00,0,-8.2398,0
2015/05/23,04:30:00,0,-8.2337,0
2015/05/23,04:45:00,0,-8.2295,0
2015/05/23,05:00:00,0,-8.2239,0
2015/05/23,05:15:00,0,-8.2188,0
2015/05/23,05:30:00,0,-8.2134,0
2015/05/23,05:45:00,0,-8.2078,0
2015/05/23,06:00:00,0,-8.2022,0
2015/05/23,06:15:00,0,-8.1982,0
2015/05/23,06:30:00,0,-8.1927,0
2015/05/23,06:45:00,0,-8.1911,0
2015/05/23,07:00:00,0,-8.1879,0
2015/05/23,07:15:00,0,-8.1852,0
2015/05/23,07:30:00,0,-8.1819,0
2015/05/23,07:45:00,0,-8.1762,0
2015/05/23,08:00:00,0,-8.1755,0
2015/05/23,08:15:00,0,-8.1686,0
2015/05/23,08:30:00,0,-8.1643,0
2015/05/23,08:45:00,0,-8.1587,0
2015/05/23,09:00:00,0,-8.1540,0
2015/05/23,09:15:00,0,-8.1527,0
2015/05/23,09:30:00,0,-8.1479,0
2015/05/23,09:45:00,0,-8.1455,0
2015/05/23,10:00:00,0,-8.1473,0
2015/05/23,10:15:00,0,-8.1421,0
2015/05/23,10:30:00,0,-8.1385,0
2015/05/23,10:45:00,0,-8.1407,0
2015/05/23,11:00:00,0,-8.1403,0
2015/05/23,11:15:00,0,-8.1399,0
2015/05/23,11:30:00,0,-8.1413,0
2015/05/23,11:45:00,0,-8.1429,0
2015/05/23,12:00:00,0,-8.1426,0
2015/05/23,12:15:00,0,-8.1407,0
2015/05/23,12:30:00,0,-8.1367,0
2015/05/23,12:45:00,0,-8.1377,0
2015/05/23,13:00:00,0,-8.1373,0
2015/05/23,13:15:00,0,-8.1356,0
2015/05/23,13:30:00,0,-8.1355,0
2015/05/23,13:45:00,0,-8.1353,0
2015/05/23,14:00:00,0,-8.1367,0
2015/05/23,14:15:00,0,-8.1392,0
2015/05/23,14:30:00,0,-8.1393,0
2015/05/23,14:45:00,0,-8.1413,0
2015/05/23,15:00:00,0,-8.1410,0
2015/05/23,15:15:00,0,-8.1426,0
2015/05/23,15:30:00,0,-8.1406,0
2015/05/23,15:45:00,0,-8.1425,0
2015/05/23,16:00:00,0,-8.1460,0
2015/05/23,16:15:00,0,-8.1454,0
2015/05/23,16:30:00,0,-8.1423,0
2015/05/23,16:45:00,0,-8.1398,0
2015/05/23,17:00:00,0,-8.1353,0
2015/05/23,17:15:00,0,-8.1341,0
2015/05/23,17:30:00,0,-8.1354,0
2015/05/23,17:45:00,0,-8.1314,0
2015/05/23,18:00:00,0,-8.1242,0
2015/05/23,18:15:00,0,-8.1202,0
2015/05/23,18:30:00,0,-8.1158,0
2015/05/23,18:45:00,0,-8.1182,0
2015/05/23,19:00:00,0,-8.1188,0
