record_id,tail_length
1,8.458136017
72,6.272559146
224,7.468984858
266,6.452338801
349,8.064031244
363,8.382105649
435,8.270279253
506,9.893486746
588,10.73465422
661,9.552268348
748,8.302499337
845,7.133379864
990,8.391386747
1164,6.315714394
1261,6.425651403
1374,10.98289668
1453,7.033975292
1756,8.38306968
1818,7.676719105
1882,7.408541836
2133,7.770146807
2184,10.19350726
2406,10.04545502
2728,10.73390699
3000,7.232867634
3002,9.075263468
4667,9.838054758
4859,9.368184676
5048,7.498868645
5180,6.657735489
5299,9.595248429
5485,8.402804036
5558,10.25816354
5583,10.82538804
5966,8.521994995
6020,6.584058537
6023,8.076337242
6036,8.4070387
6167,8.591642918
6479,6.937016008
6500,7.905390942
8022,10.01876593
8263,6.616427083
8387,10.45095882
8394,9.014960331
8407,9.423178153
8514,8.267359477
8543,9.248320017
8657,9.800718606
8675,9.001878451
8755,7.213079727
9048,8.292137338
9132,6.634473151
9270,7.532255709
9349,9.200498052
9512,9.908505649
9605,7.8565888
9703,9.848664339
10606,8.782086221
10617,7.767979654
10627,10.73075486
10720,10.98642832
10923,10.78334376
10949,9.918401425
11215,8.790998486
11329,9.004039642
11496,9.662346667
11498,10.06390129
11611,6.077500682
11628,7.235411477
11709,6.739822519
11877,9.018968789
11879,6.181380019
11887,8.1786747
11953,6.613630594
12299,9.070254704
12458,8.093992655
12602,7.986542356
12678,9.400761082
12708,8.257363747
12729,10.07593321
12756,10.25570291
12871,10.00251603
12997,6.819252434
13025,7.323643292
13114,10.69184122
13275,9.490291341
13326,6.877831762
13434,10.99223767
13465,8.156331493
13476,6.236512232
13615,9.519398319
13630,6.465023228
13748,6.367426189
13977,6.084858777
14646,10.06801929
14740,6.646159071
14796,7.068355889
14804,10.07068333
14896,10.56072006
14984,10.11477998
15302,8.104316185
15780,8.518207721
16407,7.572835185
17230,6.8301131
17877,10.28662275
17941,10.96366673
18110,8.217323901
18364,6.16162654
18486,8.826399725
18639,9.642322306
18678,9.691771263
18680,9.982153918
18846,7.974595153
18948,10.17948214
19032,7.400289511
19245,6.821115961
20040,7.129386908
20089,9.47766622
20364,8.288402409
20466,8.281265239
20992,6.89815116
21113,6.742478361
21120,10.83173948
21161,8.019261371
21232,10.40848415
21235,9.183510082
21286,8.146983984
21507,7.971975731
21558,8.878148051
22314,9.160097516
22728,10.87400056
22899,9.928823884
23032,10.03956471
24589,8.095638313
24690,6.053827119
24703,7.438088604
25247,9.7925009
25701,10.07592128
26028,9.79187007
26644,6.456711549
26827,8.237972409
26857,9.531859179
27042,10.1641126
27326,7.848561871
27734,10.97437404
27781,6.594195602
27860,10.28949457
27897,8.737134997
27919,10.83016641
28022,9.059282033
28077,9.887032344
28328,10.23835363
28551,8.82711142
28556,10.46097921
28662,7.933828335
28928,10.26247948
29039,10.39533683
29310,7.87089154
29435,10.94858266
29572,9.726499511
29823,8.309170953
29865,10.90601125
29950,8.659419508
30066,8.076790109
30067,6.506878593
30172,6.923886828
30174,8.742494033
30175,8.06363768
30307,8.556503902
30308,9.903195307
30309,10.96409762
30443,9.035919559
30741,8.510361385
31516,6.57741074
31517,9.832431703
31633,6.547452365
31717,8.818318129
31721,9.378666319
31862,10.67721334
31946,6.901329257
32045,10.15132738
32167,6.861915868
32391,10.29518344
32817,10.60776111
33040,10.95264007
33041,9.293501195
33237,7.445121077
33238,8.733914639
33339,7.836279798
33415,10.83037085
33583,7.608325847
33586,6.872387788
33837,9.821589138
33847,8.339857728
33966,8.62601194
34198,8.349386486
34783,7.423552557
34991,6.50575436
35212,6.953581244
35404,9.436984648
3,10.07888791
226,7.225191802
233,9.972899514
245,10.73307322
251,8.440074241
257,8.10072541
259,8.60455267
268,7.328827007
346,10.81589245
350,10.19099999
354,9.415490225
361,10.46136663
422,6.408165233
424,6.99708154
427,8.715477922
438,6.368872792
449,6.702411254
507,8.582191936
511,7.271226081
518,10.43059505
519,8.615682976
521,8.395960659
522,7.254386295
523,10.10694921
527,8.16448256
533,9.313009731
593,9.621349866
595,6.466826111
600,9.862498647
601,10.5499656
660,10.199425
664,6.635736467
733,7.943161591
754,7.706199379
757,6.317270523
764,9.60490341
838,9.697282416
842,10.19950245
849,10.7295142
914,10.13834098
924,8.369682695
930,7.708606178
1018,8.745040481
1061,8.355813117
1062,6.069360784
1159,8.783045885
1183,6.799852215
1269,6.047536778
1272,10.06653547
1277,6.233724772
1370,9.471971442
1382,6.906798758
1461,7.972558587
1469,10.14142438
1519,10.25188449
1529,6.31327341
1534,10.97625786
1535,7.863213526
1539,7.567109911
1581,10.81949607
1611,6.0312086
1644,9.941365019
1661,8.792743667
1676,7.446673897
1692,8.102281147
1701,7.999081273
1768,7.841254381
1839,7.862635649
1845,10.17477123
1846,10.88213661
2014,10.57254303
2060,9.259987363
2070,9.423032474
2122,7.269096638
2131,6.277380476
2176,8.450455972
2181,8.474051837
2338,6.689613702
2339,7.6526744
2340,6.374602262
2372,6.789290085
